R.N,CALL NO.,AUTHOR,TITLE,COPY RIGHT,LOCATION,
592,242C228,Antonio M. Carpio,""" Viva La Virgin ! Verses & poems & a Pinch of Prose",1995,Filipiniana,
560,220.7D642,,"""Divino Affelane Spiritu"" Encyclical letter of hgis holiness POPE PIUS XXI on the promotion of biblical studies",n.d.,Filipiniana,
67,248.4C648,"VÍCTOR CODINA, S.J.","""DOS BANDERAS"" COMO LUGAR TEOLÓGICO",2009,SPECIAL COLLECTION,
558,241.67H880,,"""HUMANAE VITAE"" : Encyclical letter of his holiness Pope Paul VI on the regulation of birth",1991,Filipiniana,
692,248.3St251,"David M. Stanley, S.J.","""I ENCOUNTER GOD!"" THE SPIRITUAL EXERCISES WITH THE GOSPEL OF SAINT JOHN",1986,SPIRITUALITY,
56,271.53G315,JOHANNES GÜNTER GERHARTZ,"""INSUPER PROMITTO...""",,SPECIAL COLLECTION,
424,230.2T128,"Luis Antonio G. Tagle, DD","""IT IS THE LORD!"" : occasional lectures at Loyola School of Theology",2003,Filipiniana,
79,261.1M417,,"""MATER et MAGISTRA"" ENCYCLICAL LETTER OF HIS HOLINESS POPE JOHN XXIII ON RECENT DEVELOPMENTS OF THE SOCIAL QUESTION",,PAPAL COLLECTION,
708,248.24B279,"William A. Barry, S.J.","""NOW CHOOSE LIFE"" CONVERSION AS THE WAY TO LIFE",1990,SPIRITUALITY,
138,271.53Om5c.1,,"""OMNIA INTELLIGENDO IUXTA CONSTITUTIONES"" THE CHANTILLY COLLOQUIUM: OCTOBER 1989 PART I",1990,SPECIAL COLLECTION,
139,271.53Om5c.2,,"""OMNIA INTELLIGENDO IUXTA CONSTITUTIONES"" THE CHANTILLY COLLOQUIUM: OCTOBER 1989 PART I",1990,SPECIAL COLLECTION,
102,271.53Om5,,"""OMNIA INTELLIGENDO IUXTA CONSTITUTIONES"" THE CHANTILLY COLLOQUIUM: OCTOBER 1989 PART II",1989,SPECIAL COLLECTION,
559,241.67P114,,"""Pacem in Terris"" : Encycical lettr of his holiness POPE JOHN XXIII on his program for world peace",n.d.,Filipiniana,
135,271.53Sw67,GÜNTER SWITEK,"""PRAEDICARE IN PAUPERTATE""",1975,SPECIAL COLLECTION,
30,,,(Unitentified books Chinese books),,SPECIAL COLLECTION LIB 2,
854,282.0924N856,Henri J.M. Nouwen,¡GRACIAS! : A latin american  journal,1970,SPIRITUALITY,
